Flow,Timestamp,Source IP,Destination IP,Source Port,Destination Port,Domain,Packet Count,Duration(s),Bytes Sent,Prediction,Confidence
1,2026-05-04 23:57:02,10.173.3.246,10.173.3.249,55789,53,assets.nmp.nike.com,10,5.39,476,BENIGN BENIGN,82.70%
2,2026-05-04 23:57:03,10.173.3.246,10.173.3.249,55789,53,assets.nmp.nike.com,1,1.01,79,BENIGN BENIGN,72.45%
3,2026-05-04 23:57:46,10.173.3.246,10.173.3.249,53757,53,brand.assets.adidas.com,1,0.00,83,BENIGN BENIGN,81.50%
4,2026-05-04 23:58:15,10.173.3.246,10.173.3.249,60546,53,lh3.googleusercontent.com,4,3.18,340,BENIGN BENIGN,71.72%
5,2026-05-04 23:58:55,10.173.3.246,10.173.3.249,64896,53,westus-0.in.applicationinsights.azure.com,2,0.16,202,BENIGN BENIGN,81.53%
6,2026-05-05 00:00:08,10.173.3.246,10.173.3.249,64061,53,clients1.google.com,1,0.00,79,BENIGN BENIGN,82.21%
7,2026-05-05 00:00:48,10.173.3.246,10.173.3.249,63799,53,apis.google.com,10,4.99,599,BENIGN BENIGN,92.34%
8,2026-05-05 00:00:57,10.173.3.246,10.173.3.249,49949,53,mobile.events.data.microsoft.com,1,0.00,92,BENIGN BENIGN,76.81%
9,2026-05-05 00:01:56,10.173.3.246,10.173.3.249,49247,53,upload.wikimedia.org,10,71.22,440,BENIGN BENIGN,93.64%
10,2026-05-05 00:02:46,10.173.3.246,10.173.3.249,55566,53,storage.googleapis.com,10,8.42,421,BENIGN BENIGN,72.96%
11,2026-05-05 00:03:05,10.173.3.246,10.173.3.249,50387,53,github.com,10,26.80,478,BENIGN BENIGN,94.33%
12,2026-05-05 00:03:16,10.173.3.246,10.173.3.249,63381,53,api.github.com,1,0.00,74,BENIGN BENIGN,84.25%
